"stkSym1","stkSym2","compInd","intraStkTimePeriod","interStkTimePeriod","timeInd","corVal"
"VNET","BBOX",1,7,3,17,0.437229151426657
"VNET","BBOX",1,7,3,18,-0.664701745225235
"VNET","BBOX",1,7,3,19,0.551726848833072
"VNET","BBOX",1,7,3,20,0.345799868157343
"VNET","BBOX",1,7,3,21,-0.0146722862503153
"VNET","BBOX",1,7,3,22,0.512417043424371
"VNET","BBOX",1,7,3,23,-0.976714121254242
"VNET","BBOX",1,7,3,24,0.233436846727326
"VNET","BBOX",1,7,3,25,-0.449977595311869
"VNET","BBOX",1,7,3,26,-0.366394781517133
"VNET","BBOX",1,7,3,27,0.12426873106244
"VNET","BBOX",1,7,3,28,-0.609907666234926
"VNET","BBOX",1,7,3,29,0.884659780765355
"VNET","BBOX",1,7,3,30,0.558798040269876
"VNET","BBOX",1,7,3,31,-0.138208690236997
"VNET","CNET",1,7,3,1,-0.32835455165156
"VNET","CNET",1,7,3,2,-0.534137242345023
"VNET","CNET",1,7,3,3,-0.283681049800925
"VNET","CNET",1,7,3,4,-0.395548078138143
"VNET","CNET",1,7,3,5,0.852012867230259
"VNET","CNET",1,7,3,6,-0.729376232855088
"VNET","CNET",1,7,3,7,-0.241270715424306
"VNET","CNET",1,7,3,8,-0.0867406765446833
"VNET","CNET",1,7,3,11,0.834057656228299
"VNET","CNET",1,7,3,12,-0.0162736138726041
"VNET","CNET",1,7,3,13,0.414149161430585
"VNET","CNET",1,7,3,14,0.637342176218866
"VNET","CNET",1,7,3,15,-0.0984255029882263
"VNET","CNET",1,7,3,16,-0.380187812615498
"VNET","CNET",1,7,3,17,-0.834060678610744
"VNET","CNET",1,7,3,18,0.818411318381132
"VNET","CNET",1,7,3,19,-0.96970173431267
"VNET","CNET",1,7,3,20,-0.355822476544965
"VNET","CNET",1,7,3,21,-0.748877180230641
"VNET","CNET",1,7,3,22,-0.804324641273067
"VNET","CNET",1,7,3,23,-0.511748039329827
"VNET","CNET",1,7,3,24,-0.388313903207211
"VNET","CNET",1,7,3,25,-0.667823071120629
"VNET","CNET",1,7,3,26,0.888637791894816
"VNET","CNET",1,7,3,27,0.519154103776105
"VNET","CNET",1,7,3,28,-0.144184955167138
"VNET","CNET",1,7,3,29,0.0137176188061403
"VNET","CNET",1,7,3,30,0.418695366696114
"VNET","CNET",1,7,3,31,-0.911853605327874
"VNET","CSCO",1,7,3,1,0.789833518986187
"VNET","CSCO",1,7,3,2,0.728862632334072
"VNET","CSCO",1,7,3,3,-0.593978407551486
"VNET","CSCO",1,7,3,4,-0.317428643559393
"VNET","CSCO",1,7,3,5,0.849707963072917
"VNET","CSCO",1,7,3,6,-0.905892049307311
"VNET","CSCO",1,7,3,7,0.878288019186202
"VNET","CSCO",1,7,3,8,0.233663001878734
"VNET","CSCO",1,7,3,9,-0.868998615553993
"VNET","CSCO",1,7,3,10,0.79740009002671
"VNET","CSCO",1,7,3,11,0.764408996718763
"VNET","CSCO",1,7,3,12,0.633651089423815
"VNET","CSCO",1,7,3,13,0.891710872204103
"VNET","CSCO",1,7,3,14,0.165825266839225
"VNET","CSCO",1,7,3,15,-0.687735470540955
"VNET","CSCO",1,7,3,16,-0.737717287849894
"VNET","CSCO",1,7,3,17,0.760304702005247
"VNET","CSCO",1,7,3,18,0.728854506321584
"VNET","CSCO",1,7,3,19,-0.420713844066428
"VNET","CSCO",1,7,3,20,-0.708508409264653
"VNET","CSCO",1,7,3,21,-0.545950045072609
"VNET","CSCO",1,7,3,22,-0.4015061122154
"VNET","CSCO",1,7,3,23,-0.433002267252299
"VNET","CSCO",1,7,3,24,0.812237300829946
"VNET","CSCO",1,7,3,25,0.0719868156024756
"VNET","CSCO",1,7,3,26,-0.881760635906787
"VNET","CSCO",1,7,3,27,0.385458286363795
"VNET","CSCO",1,7,3,28,0.264914137909735
"VNET","CSCO",1,7,3,29,0.23958671239922
"VNET","CSCO",1,7,3,30,0.421886990354109
"VNET","CSCO",1,7,3,31,-0.620944513088317
"VNET","CRAY",1,7,3,1,0.0681930906987469
"VNET","CRAY",1,7,3,2,0.316603956711441
"VNET","CRAY",1,7,3,3,-0.540571909850643
"VNET","CRAY",1,7,3,4,-0.87390942249102
"VNET","CRAY",1,7,3,5,0.667063374030948
"VNET","CRAY",1,7,3,6,0.0932934736747211
"VNET","CRAY",1,7,3,7,0.948880767033349
"VNET","CRAY",1,7,3,8,0.575293972237299
"VNET","CRAY",1,7,3,9,0.609536688111826
"VNET","CRAY",1,7,3,10,-0.658839135260128
"VNET","CRAY",1,7,3,11,-0.0450743212168266
"VNET","CRAY",1,7,3,12,0.0398620502589512
"VNET","CRAY",1,7,3,13,0.908409440726024
"VNET","CRAY",1,7,3,14,0.31275079364071
"VNET","CRAY",1,7,3,15,-0.712682027439644
"VNET","CRAY",1,7,3,16,-0.690504809442139
"VNET","CRAY",1,7,3,17,-0.0442608652612987
"VNET","CRAY",1,7,3,18,-0.960125047684265
"VNET","CRAY",1,7,3,19,0.518635011916904
"VNET","CRAY",1,7,3,20,0.71926748481642
"VNET","CRAY",1,7,3,21,0.805376160760303
"VNET","CRAY",1,7,3,22,0.508391807235884
"VNET","CRAY",1,7,3,23,-0.874168012192315
"VNET","CRAY",1,7,3,24,0.258582258762672
"VNET","CRAY",1,7,3,25,-0.450720535960033
"VNET","CRAY",1,7,3,26,-0.934859324546772
"VNET","CRAY",1,7,3,27,-0.19194088547441
"VNET","CRAY",1,7,3,28,-0.101214386418874
"VNET","CRAY",1,7,3,29,-0.152028319225931
"VNET","CRAY",1,7,3,30,0.968250344628169
"VNET","CRAY",1,7,3,31,-0.0315068170587636
"VNET","DVMT",1,7,3,1,-0.934307300811631
"VNET","DVMT",1,7,3,2,-0.192588864082153
"VNET","DVMT",1,7,3,3,-0.465012449126328
"VNET","DVMT",1,7,3,4,-0.050326846091394
"VNET","DVMT",1,7,3,5,-0.0403783904504362
"VNET","DVMT",1,7,3,6,-0.910519443457433
"VNET","DVMT",1,7,3,7,-0.918651332556346
"VNET","DVMT",1,7,3,8,-0.42685034669149
"VNET","DVMT",1,7,3,9,-0.896362421105539
"VNET","DVMT",1,7,3,10,0.620846189495719
"VNET","DVMT",1,7,3,11,0.576214172952556
"VNET","DVMT",1,7,3,12,0.286161860631738
"VNET","DVMT",1,7,3,13,0.600779206121974
"VNET","DVMT",1,7,3,14,-0.052783352406304
"VNET","DVMT",1,7,3,15,-0.724841467475389
"VNET","DVMT",1,7,3,16,-0.693799194913287
"VNET","DVMT",1,7,3,17,-0.206888309089653
"VNET","DVMT",1,7,3,18,0.0106896894361377
"VNET","DVMT",1,7,3,19,0.645067986908818
"VNET","DVMT",1,7,3,20,0.203606894263165
"VNET","DVMT",1,7,3,21,0.892680983415114
"VNET","DVMT",1,7,3,22,-0.671068266601764
"VNET","DVMT",1,7,3,23,0.435653172390909
